"","response_id","q_language","animal_type_8_text","org_budget_currency_5_text","org_advocacy_6_text","org_focus_6_text","advocacy_diet_4_text","advocacy_corporate_4_text","advocacy_policy_5_text","advocacy_inst_5_text","interest_diet_r2","interest_corp_r1","interest_corp_r2","interest_policy_r1","interest_policy_r2","interest_direct_r1","interest_direct_r2","interest_inst_r1","interest_inst_r2","corporate_dissatisfy","policy_dissatisfy","insti_dissatisfy","direct_dissatisfy","other_dissatisfy","participant_role_9_text"
"15","R_1djkvhEunt2DoXm","PT-BR","Animais não humanos usados para trabalho e tração","","Divulgação científica, cursos, palestras","","","","Direitos animais","","","We defend the end of animal exploitation, but we believe that cellular meat can be a path that brings benefits to animals, especially when it comes to producing food for other non-human carnivorous animals","","","","","","","education can change people","","has not been very effective and underdeveloped","","","",""
"16","R_1d0MqDy0U2OX9FW","ES-ES","","","","","research & teaching","","","","","","Porque las organizaciones (NGOs) centradas en esta tarea en Chile no ofrecen nuevos empleos ni consideran mi experiencia, además no es fácil fundar una organización desde 0, buscarle financiamiento para contratar personal y buscar concretar reuniones corporativas.","","Porque actualmente en Chile las campañas de presión políticas están centradas en el proceso constituyente y en la abolición del rodeo como deporte nacional, yo en cambio me centro en los impactos nocivos de la industria alimentaria en ecosistemas y población general, además de los centros de reclusión","","","","","","","","","",""
"17","R_2CUoCI7i8czOpNb","ES-ES","","","","","","","","","","","","","","","","","","","","","","",""
"18","R_1QFAa3zZtRFIPUs","JA","","","","","","","","","","","","","","","","","","","","","","",""
"19","R_2waGD1E06cq0Mbp","ES-ES","","","","","","","","","","","","","","","","","Falta de recursos.","","","","","",""
"20","R_2uZC1yXGZDzyPew","ES-ES","","","","","","","","","","","","","","","","","","","","","","",""
"21","R_2CP82j4LytZvRCc","ES-ES","","","","","","","","","","porque no creemos en el bienestarismo","","","","","","","falta de recursos económicos, de tiempo y de personal","","nos gustaría hacer más pero no contamos con los recursos necesarios","","","",""
"22","R_1myYtkSqrTwXVIY","ZH-T","","","","","","","","","","","","","","","沒有資源","不見難看到效果","","","","","","",""
"23","R_D6tT2yxnwKToGml","ES-ES","","","","","","","","","","","No contamos con recursos suficientes para sostener esta actividad","","","","","","No contamos con los recursos para hacerlo","","","","Es muy pesado,  falta compromiso por parte del público en Gervais y de otras organizaciones","",""
"24","R_pE2AP9kYxoxc6TD","JA","","","","","","","","","できることが限られる中、より効果的な活動方法は企業や組織へのアプローチだと思うから","","","","時間がかかるから。まずはビジネスを作ることが将来の政策作りにも役に立つと思うから。","","","","","","","","","",""
"25","R_DCQxf7yXx4UuB0t","ES-ES","","","Educación y asesoría sobre veganismo","","Uno a uno y en línea","","","","","","Decido priorizar y enfocarme en lo que más conozco, aunque podría asesorar restaurantes para hacer transición hacia alimentación basada en plantas.","","","","","","Porque no tengo la capacidad y decido priorizar mi enfoque. Esto no quiere decir que haya temas que no me interesen y si puedo colaborar, lo haré.","","","","","Porque me gustaría dedicar más tiempo a esto (lo mismo que dije en el punto anterior).",""
"26","R_2aJD28cb9Mi7woH","PT-BR","","Real (R$) - Brasil","","","Abordamos o tema apenas transversalmente. O foco de nosso trabalho é a divulgação da ética animal por meio de cursos, palestras, eventos, etc","","","","","embora entenda o aspecto prático proposto por esta perspectiva, prefiro uma abordagem mais ampla e abolicionista em relação aos direitos animais","","","atualmente não tenho tempo disponível para me dedicar a todas as demandas que esta abordagem exige.","Passei alguns anos me dedicando a resgate de animais. Contudo, isso fez com que eu tivesse sérios problemas financeiros, inclusive tendo que vender minha casa para pagar despesas com os animais. Por isso, hoje prefiro doar meu tempo livre e conhecimento e trabalhar com educação social em ética animal ao invés de dinheiro.","","","Mesmo motivo do tópico anterior. Atualmente não tenho tempo disponível para me dedicar a esta abordagem","","","","","",""
"27","R_3HS43QoVc9ByRBb","JA","","Yen","","","","","","","","","","","スタッフを雇用できる状況にない、マンパワー不足","資金的、人材的に困難。日本は専門家が市民運動と距離を置くため協力が得られにくい。","","","","","","","","",""
"28","R_2zXVxCGoia8hEgV","JA","","","","","","","","","","","","PETA Asiaとしてはロビー活動には重点を置いていないから","","","","","","","","","","",""
"29","R_1l6SVeIPzRR24PP","ZH-T","","","","","","","","","","","","","","","","","","","","","","",""
"30","R_vIDvOfElibTAlGh","PT-BR","Cavalos e animais de rodeios","Real (Brazil)","Juridicos","","","","Lobby estratégico","Pressão judicial estrategica","Falta de dinheiro para contratar profissionais para a Organização","Dinheiro usado para esses fins poderiam serem usados estrategicamente para melhores resultados a médio prazo.","","","","Os trabalhos da ONG são mais eficazes em formato de estrategias politicas e juridicas.","","","","","","","","","Diretor Geral"
"31","R_3ikZKjehEwkGNAu","ZH-S","","","行业生态支持，为动物福利行业人才提供培训和支持","","","","","","机构定位和目标不在这个领域上","","机构定位和目标不直接在这个领域上面工作，但我们通过培训和支持行业人才来推动这方面发展","","机构定位和目标不直接在这个领域上面工作，但我们通过培训和支持行业人才来推动这方面发展","机构定位和目标不在这个领域上面工作","","机构定位和目标不在这个领域上面工作","","","","","","",""
"32","R_1LAuZa0v1pmCPBK","HI","","","","","","","","","हम जो आसानी और सुलभता से कर रहे है वह ही करते हैं, इससे अधिक कर पाना इसलिए सम्भव नहीं क्योंकि हमारे पास उससे अधिक संसाधन और बजट नहीं है।","","किसी भी काम को पहले थोड़ा किया जाता है यानि छोटे रूप में किया जाता है बाद में वह स्वयं धीरे-धीरे बड़ा हो जाता है।","","","","","","बच्चे कल का भविष्य है अगर आज से बच्चे जानवर के अधिकार, उसकी अहमियत को समझ जाएंगे तो बड़े होने पर उनमें से तमाम ऐसे भी ओहदे पर बैठे हो सकते जहाँ नीति का निर्धारण वह कर सकते है ऐसे में वह जानवर के हित में बेहतर नीति बनाएंगे।","","","","","",""
"33","R_yxN2IuUFTqVCyrf","ES-ES","Humanxs y todxs lxs animales y sus ecosistemas","Pesos mexicanos","","","Campañas educativas en espacios públicos o para políticas públicas","campañas de divulgación y denuncia de las prácticas no éticas de las empresas","Campañas en contra de los subsidios al especismo y en apoyo al presupuesto público para santuarios.","","","","","","","","","","","","","","","",""
"34","R_3GEd7nWE6eneBzU","PT-BR","","Real - Brazil","Ações judiciais","","","","Fiscalizando e processando judicialmente o poder publico municipal, Estadual e Federal.","Auxiliando e fiscalizando o poder publico para construir politicas publicas pelos animais.","Falta de recursos financeiros para contratar profissionais. Infelizmente não é possível contar com voluntarios para execução de projetos.","","Falta de recursos financeiros.","","","","Falta de recursos financeiros.","","","","","Falta de recursos financeiros para contratar profissionais.","","","Auxilio na elaboração das ações judiciais."
"35","R_5o6OLtq72l4xQ8F","ES-ES","","","","","","","","","","","Porque no tengo fondos ni personal para hacerlo.","","No tengo fondos ni personal para hacerlo","","No tengo fondos","","","","","","","",""
"36","R_01V2YSXVxJ6H4pX","PT-BR","Resgate de animais em situação de Desastres","","","","Cursos sobre como aderir ao veganismo","","","","","","","","","","","","","","","","","",""
